"coops","dry-mode","gc.algo","gc.threads","heap.old","jvm","-","host","pause.avg","pause.count","pause.sdev","pause.sqtotal","pause.total"
"true","false","cms","16","1.5","hs7u15","","longmrdfappd2","158.35910224438902","401","85.80495032015003","13008478","63502"
"true","false","cms","8","4","hs7u15","","longmrdfappd1","302.5162094763092","401","10.416530196887404","36741449","121309"
"false","true","cms","48","20","hs7u15","","longmrdfappd3","30.92768079800499","401","8.448598098694957","412188","12402"
"false","false","cms","32","2","hs7u15","","longmrdfappd2","120.57356608478803","401","6.368187729946236","5845994","48350"
"true","true","cms","16","4","hs7u15","","longmrdfappd2","12.403990024937656","401","6.596408305552829","79146","4974"
"false","false","cms","16","8","hs7u15","","longmrdfappd1","189.79052369077306","401","8.872946917881885","14475768","76106"
"true","false","cms","24","1","hs7u15","","longmrdfappd2","118.98254364089776","401","7.128824878851427","5697274","47712"
"true","true","cms","32","28","hs7u15","","longmrdfappd3","44.768079800498754","401","2.3526031750738343","805896","17952"
"false","true","cms","48","16","hs7u15","","longmrdfappd3","25.890274314214462","401","6.135862462130182","283890","10382"
"false","true","cms","48","1.5","hs7u15","","longmrdfappd3","9.361596009975063","401","7.583051152697242","58202","3754"
"true","false","cms","24","16","hs7u15","","longmrdfappd2","229.0074812967581","401","13.24702738556431","21100584","91832"
"false","true","cms","24","0.7","hs7u15","","longmrdfappd2","4.032418952618454","401","1.5717094856466698","7511","1617"
"false","false","cms","16","3","hs7u15","","longmrdfappd3","142.74064837905237","401","7.0380206196731745","8190195","57239"
"false","true","cms","4","1","hs7u15","","longmrdfappd3","9.902743142144638","401","0.5122124095313512","39429","3971"
"true","true","cms","4","4","hs7u15","","longmrdfappd2","39.00249376558604","401","14.95654532788982","699702","15640"
"true","false","cms","4","28","hs7u15","","longmrdfappd1","760.5236907730673","401","47.8104639298894","232853532","304970"
"true","false","cms","16","2","hs7u15","","longmrdfappd3","142.9077306733167","401","8.615590177232495","8219236","57306"
"false","true","cms","48","2","hs7u15","","longmrdfappd3","9.231920199501246","401","8.417034061807158","62586","3702"
"true","false","cms","24","8","hs7u15","","longmrdfappd2","193.17456359102243","401","9.75405543238981","15002033","77463"
"false","false","cms","4","8","hs7u15","","longmrdfappd1","478.0448877805486","401","48.73448834413367","92591688","191696"
"true","true","cms","32","3","hs7u15","","longmrdfappd2","8.386533665835412","401","7.658725612624146","51725","3363"
"true","true","cms","16","2","hs7u15","","longmrdfappd2","6.940149625935162","401","4.706488223618377","28197","2783"
"true","false","cms","16","4","hs7u15","","longmrdfappd3","188.5785536159601","401","6.928882692349232","14279562","75620"
"false","true","cms","8","8","hs7u15","","longmrdfappd1","39.900249376558605","401","3.4286492745738197","643118","16000"
"false","true","cms","4","1.5","hs7u15","","longmrdfappd3","14.316708229426434","401","9.71396121728052","120031","5741"
"false","true","cms","16","1","hs7u15","","longmrdfappd1","4.553615960099751","401","4.974522936526634","18238","1826"
"false","true","cms","4","4","hs7u15","","longmrdfappd3","38.952618453865334","401","11.924962789574105","665464","15620"
"false","true","cms","48","20","hs7u15","","longmrdfappd2","29.93266832917706","401","6.502480256678839","376237","12003"
"true","true","cms","8","1","hs7u15","","longmrdfappd2","5.85785536159601","401","2.198898928505577","15699","2349"
"false","true","cms","16","20","hs7u15","","longmrdfappd3","68.47381546134663","401","1.1838218069812894","1880716","27458"
"false","true","cms","8","20","hs7u15","","longmrdfappd1","135.3640897755611","401","0.9847248470305072","7348087","54281"
"true","true","cms","4","1","hs7u15","","longmrdfappd1","10.032418952618453","401","4.623635082982701","48933","4023"
"true","true","cms","24","2","hs7u15","","longmrdfappd1","6.29426433915212","401","1.4170997110199035","16692","2524"
"false","false","cms","24","20","hs7u15","","longmrdfappd2","184.8204488778055","401","7.00571058821948","13717279","74113"
"false","false","cms","32","20","hs7u15","","longmrdfappd3","158.33167082294264","401","6.918277462184041","10071829","63491"
"false","false","cms","8","12","hs7u15","","longmrdfappd1","324.2194513715711","401","17.640401392683895","42277204","130012"
"false","false","cms","32","3","hs7u15","","longmrdfappd3","122.6359102244389","401","7.6791720272669535","6054513","49177"
"false","true","cms","8","1","hs7u15","","longmrdfappd1","5.930174563591023","401","7.399205471901212","36056","2378"
"true","false","cms","48","12","hs7u15","","longmrdfappd2","155.11221945137157","401","9.637565493428252","9685226","62200"
"true","true","cms","16","12","hs7u15","","longmrdfappd2","33.13715710723192","401","7.8701203239196476","465164","13288"
"true","true","cms","32","16","hs7u15","","longmrdfappd3","26.91271820448878","401","1.8483295263015687","291812","10792"
"false","true","cms","4","8","hs7u15","","longmrdfappd2","91.84039900249377","401","1.0472449738769098","3382738","36828"
"true","false","cms","4","1","hs7u15","","longmrdfappd3","253.428927680798","401","14.50807879154567","25839119","101625"
"true","true","cms","16","4","hs7u15","","longmrdfappd2","12.927680798004987","401","0.5399333641857753","67134","5184"
"true","false","cms","4","16","hs7u15","","longmrdfappd1","659.9326683291771","401","43.04040849253415","175382805","264633"
"true","true","cms","16","8","hs7u15","","longmrdfappd3","23.27930174563591","401","8.666833936623544","247433","9335"
"true","false","cms","8","1","hs7u15","","longmrdfappd2","153.95511221945137","401","8.415517080402752","9532972","61736"
"true","true","cms","8","16","hs7u15","","longmrdfappd1","111.18703241895261","401","0.8605695622771848","4957682","44586"
"false","false","cms","4","0.7","hs7u15","","longmrdfappd2","150.1496259351621","401","8.724234947613935","9071030","60210"
"true","false","cms","48","1.5","hs7u15","","longmrdfappd1","124.89526184538653","401","7.222091523846853","6276045","50083"
"false","false","cms","4","16","hs7u15","","longmrdfappd3","573.4788029925187","401","25.722772440166153","132145379","229965"
"false","true","cms","16","1.5","hs7u15","","longmrdfappd1","5.640897755610973","401","4.493910891891304","20858","2262"
"false","true","cms","24","28","hs7u15","","longmrdfappd2","55.50623441396509","401","5.984234152248739","1249818","22258"
"false","false","cms","24","2","hs7u15","","longmrdfappd3","125.24189526184539","401","5.987838081209756","6304276","50222"
"false","true","cms","16","1","hs7u15","","longmrdfappd3","4.708229426433915","401","7.099728287255068","29102","1888"
"true","false","cms","16","1","hs7u15","","longmrdfappd1","117.61097256857856","401","6.047878736277893","5561436","47162"
"true","true","cms","8","8","hs7u15","","longmrdfappd2","49.33665835411471","401","0.7920287442115813","976328","19784"
"false","true","cms","24","4","hs7u15","","longmrdfappd1","10.209476309226932","401","6.711066527774241","59858","4094"
"false","true","cms","16","8","hs7u15","","longmrdfappd2","23.65087281795511","401","7.68408696625837","247982","9484"
"false","true","cms","32","8","hs7u15","","longmrdfappd1","14.748129675810473","401","2.4277906262340885","89584","5914"
"false","true","cms","8","0.7","hs7u15","","longmrdfappd1","4.341645885286783","401","7.512283293618547","30189","1741"
"true","false","cms","16","8","hs7u15","","longmrdfappd3","235.16957605985039","401","8.288210662131204","22204743","94303"
"false","true","cms","32","4","hs7u15","","longmrdfappd3","9.87780548628429","401","7.044746980695246","59027","3961"
"false","false","cms","8","1","hs7u15","","longmrdfappd1","124.79052369077307","401","7.651773381729809","6268121","50041"
"true","true","cms","24","1","hs7u15","","longmrdfappd3","4.800498753117207","401","2.4022225267350974","11555","1925"
